Party Name,Number of Diamonds,First Color of Diamond,Second Color of Diamond,Third Color of Diamond,Shape,Quantity,Date,Choice,Type
RakeshBhai,4,Pink,Pink,Ruby,Hexagon,6,2023-03-20,yes,micro
AshishBhai,5,Ruby,Ruby,Green,Hexagon,2,2023-12-10,yes,plain
AshishBhai,6,White,White,Purple,Club,10,2024-06-28,yes,plain
AshishBhai,5,Blue,Blue,Purple,Club,22,2023-06-26,yes,micro
MRP MukeshBhai,3,Green,Green,White,Club,18,2024-07-19,yes,plain
RakeshBhai,3,Pink,Purple,Purple,Square,14,2023-05-23,yes,micro
AshishBhai,2,Green,Purple,Ruby,Round,18,2024-09-10,yes,micro
AshishBhai,1,Purple,Purple,Green,Marquise,10,2023-12-16,yes,micro
Shiv VipulBhai,6,Ruby,Purple,Green,Club,14,2024-01-09,yes,plain
Shiv VipulBhai,4,Blue,Green,Pink,Square,2,2023-07-15,no,plain
Shiv VipulBhai,2,Purple,Ruby,Blue,Oval,22,2024-01-23,yes,plain
Aditi Ornaments,4,Blue,Purple,Pink,Flower,18,2023-11-18,yes,plain
RakeshBhai,4,White,Purple,Green,Diamond,10,2024-03-02,yes,plain
SanjayBhai,6,Ruby,Pink,Purple,Club,26,2024-08-09,yes,micro
Aditi Ornaments,8,Blue,Purple,Ruby,Flower,22,2024-09-06,yes,micro
MRP MukeshBhai,5,White,White,Blue,Diamond,2,2023-07-15,yes,micro
AshishBhai,4,White,Pink,Ruby,Star,10,2025-02-27,no,plain
SanjayBhai,2,Blue,Green,Purple,Round,26,2023-05-01,yes,micro
AshishBhai,4,Pink,Pink,Pink,Diamond,14,2024-05-14,yes,plain
SanjayBhai,3,Ruby,Purple,Pink,Heart,14,2023-11-21,yes,plain
Aditi Ornaments,6,Green,Pink,Purple,Heart,22,2024-04-16,yes,plain
VirajBhai,3,Ruby,Pink,Purple,Flower,6,2023-06-17,yes,plain
SanjayBhai,2,Purple,White,Pink,Diamond,10,2024-01-13,yes,micro
VirajBhai,3,Ruby,White,Green,Heart,18,2024-11-19,yes,micro
MRP MukeshBhai,1,Purple,Blue,Blue,Marquise,22,2024-08-17,no,plain
Aditi Ornaments,7,Pink,Purple,Purple,Star,2,2024-01-16,no,micro
MRP MukeshBhai,2,Blue,Ruby,White,Oval,14,2025-02-02,no,plain
Aditi Ornaments,3,Green,Pink,Ruby,Marquise,14,2023-11-28,yes,micro
SanjayBhai,6,Pink,Green,Ruby,Square,6,2025-01-12,no,plain
MRP MukeshBhai,1,Pink,Blue,Green,Marquise,6,2024-01-21,yes,plain
RakeshBhai,3,Ruby,White,Blue,Round,2,2024-06-11,no,micro
Aditi Ornaments,5,Blue,Blue,Pink,Heart,26,2024-12-08,yes,micro
RakeshBhai,5,Blue,Pink,Blue,Square,2,2024-10-16,yes,micro
SanjayBhai,1,Green,Ruby,White,Marquise,26,2024-07-14,yes,plain
Aditi Ornaments,4,Green,Blue,Green,Club,10,2024-08-27,yes,micro
SanjayBhai,3,Ruby,Purple,Green,Oval,22,2024-08-15,no,micro
AshishBhai,8,Pink,Purple,Ruby,Star,2,2024-10-03,yes,plain
Aditi Ornaments,5,Ruby,White,Ruby,Heart,26,2023-06-22,yes,plain
Aditi Ornaments,4,Green,Purple,Purple,Club,22,2024-04-02,yes,micro
Shiv VipulBhai,1,White,Ruby,Ruby,Oval,22,2024-03-08,yes,micro
VirajBhai,6,White,Ruby,Green,Flower,10,2024-05-22,yes,plain
VirajBhai,3,White,Purple,Purple,Heart,26,2024-02-24,yes,micro
VirajBhai,3,Ruby,Ruby,Purple,Marquise,6,2025-01-27,yes,micro
MRP MukeshBhai,3,Green,White,Pink,Oval,26,2023-08-22,yes,micro
RakeshBhai,5,Green,Ruby,Green,Star,10,2024-11-10,yes,micro
MRP MukeshBhai,6,White,White,Blue,Club,26,2025-02-11,yes,micro
Aditi Ornaments,3,Green,Purple,Green,Oval,26,2024-04-30,yes,plain
SanjayBhai,5,Purple,White,Blue,Club,10,2023-06-13,no,micro
VirajBhai,3,Blue,Ruby,Purple,Star,18,2024-12-31,yes,plain
SanjayBhai,3,Pink,Purple,Pink,Oval,2,2023-10-04,yes,micro
Aditi Ornaments,4,Green,Purple,Ruby,Flower,6,2024-12-26,yes,plain
SanjayBhai,2,Purple,Ruby,Blue,Square,10,2024-09-19,yes,micro
VirajBhai,5,White,Ruby,Blue,Heart,14,2023-07-28,yes,plain
RakeshBhai,6,Purple,Ruby,Blue,Flower,6,2023-12-10,yes,micro
SanjayBhai,3,Blue,Ruby,White,Round,18,2023-11-14,yes,micro
VirajBhai,5,Green,White,Pink,Club,22,2024-11-06,yes,micro
Aditi Ornaments,3,Pink,Ruby,Purple,Flower,14,2024-06-09,yes,plain
VirajBhai,4,Ruby,Blue,Blue,Heart,22,2024-12-01,yes,plain
RakeshBhai,7,Blue,Ruby,Pink,Star,26,2024-04-07,no,micro
VirajBhai,2,Ruby,White,Blue,Round,22,2023-07-17,no,micro
SanjayBhai,5,Ruby,White,Pink,Star,2,2024-03-02,yes,micro
VirajBhai,3,Green,Ruby,Green,Round,26,2025-01-19,yes,micro
Aditi Ornaments,3,Blue,Pink,Ruby,Marquise,2,2024-08-05,no,plain
MRP MukeshBhai,2,Purple,Purple,Pink,Club,10,2024-09-21,yes,micro
AshishBhai,2,Blue,Ruby,White,Oval,14,2023-05-28,yes,plain
Shiv VipulBhai,6,White,Purple,Green,Star,6,2024-07-16,yes,plain
VirajBhai,3,Ruby,Purple,Blue,Marquise,2,2023-04-15,yes,micro
VirajBhai,2,Purple,Pink,Pink,Oval,22,2024-02-27,yes,micro
RakeshBhai,4,Green,Green,Pink,Diamond,6,2024-03-08,yes,micro
SanjayBhai,5,Pink,White,Pink,Heart,26,2023-04-13,yes,plain
RakeshBhai,6,Pink,Green,Pink,Heart,22,2024-01-21,yes,micro
MRP MukeshBhai,3,Green,Blue,Ruby,Round,18,2024-10-31,yes,plain
RakeshBhai,2,Ruby,Pink,Ruby,Marquise,22,2024-01-13,no,micro
Aditi Ornaments,4,Green,Green,Purple,Star,6,2024-09-03,yes,plain
MRP MukeshBhai,5,Pink,Ruby,White,Hexagon,10,2023-03-15,yes,plain
VirajBhai,6,Ruby,Green,Purple,Club,6,2024-12-06,yes,micro
AshishBhai,1,Pink,Green,White,Round,14,2024-02-27,yes,micro
AshishBhai,7,Green,Green,Blue,Flower,18,2024-03-21,no,micro
MRP MukeshBhai,6,Blue,Green,Blue,Diamond,2,2024-03-19,no,plain
AshishBhai,2,Blue,Pink,Green,Oval,2,2023-06-10,yes,micro
Shiv VipulBhai,5,Green,Pink,Pink,Club,2,2023-03-23,yes,plain
Aditi Ornaments,3,Pink,Blue,Ruby,Diamond,6,2024-10-30,yes,plain
VirajBhai,6,Ruby,Pink,Green,Star,18,2024-12-08,yes,plain
AshishBhai,1,White,Purple,Pink,Oval,14,2024-05-09,yes,plain
VirajBhai,3,Green,White,Purple,Star,6,2023-05-06,yes,plain
RakeshBhai,7,Ruby,Blue,Pink,Star,2,2024-03-20,no,plain
RakeshBhai,1,White,Blue,Ruby,Marquise,14,2023-07-11,yes,micro
AshishBhai,7,White,Ruby,Purple,Hexagon,10,2025-02-20,yes,micro
Aditi Ornaments,3,White,Pink,Green,Diamond,2,2024-05-20,yes,micro
AshishBhai,3,Purple,Green,Pink,Oval,26,2025-01-24,no,micro
Aditi Ornaments,6,Pink,Purple,Pink,Hexagon,6,2025-01-16,yes,micro
AshishBhai,8,Blue,Blue,White,Star,14,2025-02-22,yes,plain
MRP MukeshBhai,4,Blue,Pink,Purple,Heart,18,2023-05-25,yes,micro
Aditi Ornaments,1,Green,Purple,Green,Round,6,2024-06-04,yes,micro
SanjayBhai,5,Green,Ruby,Green,Square,14,2024-10-13,yes,plain
RakeshBhai,8,White,Ruby,Pink,Hexagon,22,2023-12-16,yes,micro
MRP MukeshBhai,2,Green,Green,Blue,Oval,2,2023-07-29,yes,plain
AshishBhai,5,Purple,Pink,Green,Square,10,2023-06-05,yes,micro
AshishBhai,3,White,Blue,Ruby,Flower,10,2024-10-02,yes,plain
MRP MukeshBhai,4,Blue,White,Ruby,Flower,10,2024-02-11,yes,micro
RakeshBhai,2,Pink,Blue,White,Round,18,2024-06-26,yes,micro
MRP MukeshBhai,1,Blue,Ruby,Pink,Round,26,2024-03-13,yes,micro
MRP MukeshBhai,1,Green,White,Pink,Round,22,2023-11-11,yes,micro
VirajBhai,4,Pink,Blue,Ruby,Square,10,2023-12-23,yes,micro
AshishBhai,6,Purple,White,White,Diamond,14,2023-05-08,yes,micro
AshishBhai,3,Purple,White,Ruby,Star,14,2023-07-24,no,micro
MRP MukeshBhai,3,Blue,Blue,Blue,Hexagon,10,2024-02-17,yes,micro
RakeshBhai,1,Pink,Blue,Blue,Oval,2,2023-04-25,yes,plain
AshishBhai,7,Ruby,Purple,Green,Hexagon,18,2023-07-15,yes,micro
Shiv VipulBhai,8,White,Ruby,Purple,Flower,10,2024-12-07,yes,micro
AshishBhai,1,Purple,Blue,Purple,Oval,14,2024-03-17,yes,plain
AshishBhai,1,Ruby,Purple,Ruby,Round,26,2023-08-29,yes,plain
SanjayBhai,3,Pink,Purple,Green,Marquise,26,2024-09-05,yes,plain
VirajBhai,2,Ruby,White,Ruby,Oval,22,2024-12-23,yes,plain
AshishBhai,3,Pink,Blue,Ruby,Marquise,22,2024-08-18,yes,plain
SanjayBhai,8,Purple,Blue,Pink,Star,2,2023-11-07,yes,micro
MRP MukeshBhai,8,Green,Blue,Blue,Star,10,2023-07-13,yes,micro
SanjayBhai,3,Pink,Pink,Blue,Heart,6,2024-05-21,yes,micro
SanjayBhai,6,Green,Ruby,Purple,Club,10,2023-05-31,yes,micro
RakeshBhai,1,Pink,White,Green,Round,26,2024-06-29,yes,micro
RakeshBhai,6,White,Ruby,Ruby,Square,22,2025-01-27,no,plain
AshishBhai,4,Ruby,Ruby,Blue,Heart,10,2024-12-09,yes,plain
Aditi Ornaments,3,Green,Pink,Ruby,Round,14,2025-02-14,yes,plain
AshishBhai,8,White,Blue,Pink,Hexagon,26,2023-05-08,yes,plain
RakeshBhai,3,White,White,Purple,Flower,10,2023-12-18,no,micro
VirajBhai,2,Ruby,Blue,White,Heart,2,2024-09-03,yes,micro
MRP MukeshBhai,6,Pink,Ruby,Pink,Star,14,2024-09-24,yes,micro
SanjayBhai,1,Green,White,Pink,Oval,2,2025-02-04,yes,plain
MRP MukeshBhai,3,White,White,Pink,Diamond,18,2023-03-21,yes,plain
VirajBhai,3,Purple,White,Blue,Round,14,2024-07-02,yes,plain
Aditi Ornaments,2,White,Purple,White,Heart,14,2024-11-17,yes,plain
MRP MukeshBhai,6,White,Green,Pink,Square,2,2023-07-22,yes,micro
MRP MukeshBhai,3,White,Ruby,Blue,Flower,10,2025-02-17,yes,micro
MRP MukeshBhai,8,Purple,Purple,Purple,Hexagon,14,2023-11-10,yes,plain
SanjayBhai,2,Purple,Purple,White,Square,26,2023-11-25,yes,micro
VirajBhai,2,Pink,Ruby,Ruby,Diamond,14,2023-08-13,yes,micro
AshishBhai,2,Ruby,Pink,Purple,Heart,2,2025-01-05,yes,plain
RakeshBhai,8,Ruby,Pink,White,Star,26,2023-10-17,no,plain
VirajBhai,3,Pink,White,Pink,Hexagon,18,2024-04-13,yes,micro
VirajBhai,1,Ruby,Blue,Pink,Round,26,2024-06-27,yes,plain
Shiv VipulBhai,7,Blue,White,Pink,Flower,22,2024-02-12,no,plain
VirajBhai,3,Ruby,Green,Blue,Club,14,2023-08-06,yes,plain
AshishBhai,3,Ruby,Purple,Green,Oval,10,2024-04-15,yes,micro
RakeshBhai,6,Blue,Ruby,Ruby,Star,14,2023-05-03,no,plain
RakeshBhai,5,Green,Pink,Blue,Heart,2,2023-12-21,no,plain
SanjayBhai,3,Ruby,Green,Purple,Round,10,2023-10-10,yes,plain
Shiv VipulBhai,5,Pink,Green,Purple,Square,10,2025-02-05,yes,micro
MRP MukeshBhai,2,Purple,White,Purple,Marquise,2,2023-03-21,yes,plain
SanjayBhai,3,Purple,Blue,Ruby,Oval,2,2024-12-07,no,plain
AshishBhai,5,Ruby,Purple,Pink,Club,18,2025-01-20,yes,micro
AshishBhai,6,Ruby,Purple,Purple,Star,26,2023-09-02,yes,micro
SanjayBhai,1,Purple,Green,Green,Oval,10,2023-08-01,no,plain
VirajBhai,3,Pink,Pink,Pink,Flower,10,2024-11-15,yes,micro
RakeshBhai,6,Pink,Green,Green,Square,2,2023-10-04,no,micro
Shiv VipulBhai,3,Green,Purple,Pink,Oval,6,2025-02-09,yes,micro
VirajBhai,6,Purple,Pink,Green,Diamond,6,2024-07-09,yes,plain
RakeshBhai,2,Pink,Ruby,White,Square,6,2023-08-16,yes,micro
RakeshBhai,1,Blue,Blue,Purple,Oval,14,2024-06-21,yes,micro
MRP MukeshBhai,8,White,White,Ruby,Hexagon,22,2023-08-21,yes,micro
MRP MukeshBhai,5,Green,Ruby,White,Hexagon,14,2024-11-03,yes,plain
RakeshBhai,1,Ruby,Purple,White,Round,26,2024-02-28,yes,micro
Shiv VipulBhai,3,White,Blue,Purple,Oval,2,2024-01-04,yes,plain
Aditi Ornaments,1,Ruby,Purple,Pink,Round,6,2024-07-03,yes,micro
VirajBhai,3,Purple,Ruby,Blue,Flower,6,2023-11-29,yes,plain
VirajBhai,7,White,Purple,Blue,Star,26,2024-03-10,yes,plain
Aditi Ornaments,2,White,Blue,Ruby,Heart,2,2024-08-12,yes,micro
MRP MukeshBhai,1,Green,Pink,Ruby,Round,18,2023-07-30,no,plain
MRP MukeshBhai,1,Blue,Purple,Green,Oval,22,2024-02-23,yes,plain
Shiv VipulBhai,3,Purple,Purple,Pink,Marquise,22,2024-04-30,no,plain
MRP MukeshBhai,3,Blue,Pink,Purple,Diamond,6,2024-05-30,no,micro
Aditi Ornaments,3,Purple,White,Blue,Flower,2,2024-06-10,yes,plain
Shiv VipulBhai,3,Blue,White,Purple,Flower,2,2024-11-06,yes,plain
Aditi Ornaments,7,Blue,White,Purple,Flower,6,2023-05-22,yes,plain
Shiv VipulBhai,4,Purple,Pink,Pink,Club,22,2023-12-10,yes,plain
AshishBhai,3,Blue,Pink,White,Flower,6,2024-01-19,no,micro
RakeshBhai,3,Blue,Purple,Ruby,Flower,10,2024-06-21,no,micro
SanjayBhai,6,White,Blue,Blue,Club,22,2024-06-25,yes,micro
AshishBhai,4,Blue,Ruby,Purple,Heart,22,2023-06-04,yes,micro
VirajBhai,8,Green,Purple,White,Star,6,2024-01-23,no,micro
MRP MukeshBhai,3,Green,Purple,Blue,Round,6,2024-03-13,yes,plain
Shiv VipulBhai,3,Blue,Ruby,Green,Round,6,2023-12-03,yes,plain
MRP MukeshBhai,3,Pink,Ruby,Purple,Marquise,2,2023-09-12,yes,micro
Shiv VipulBhai,3,White,Blue,Pink,Square,14,2023-09-16,no,micro
RakeshBhai,1,White,Pink,Green,Marquise,10,2024-12-13,yes,micro
Shiv VipulBhai,6,Green,Blue,Ruby,Star,22,2025-02-22,yes,micro
Aditi Ornaments,2,Green,Purple,Ruby,Oval,10,2023-04-22,yes,micro
SanjayBhai,6,Blue,Green,Blue,Hexagon,14,2023-04-17,yes,plain
VirajBhai,3,Ruby,Ruby,Pink,Marquise,26,2024-11-14,no,plain
AshishBhai,6,Ruby,Purple,Green,Star,22,2023-08-09,yes,micro
Shiv VipulBhai,1,Green,Green,Pink,Oval,10,2025-02-03,yes,plain
SanjayBhai,2,Purple,Purple,Blue,Marquise,14,2024-12-26,yes,plain
RakeshBhai,3,Ruby,Blue,Ruby,Diamond,26,2023-08-20,yes,micro
AshishBhai,2,Pink,Green,Blue,Oval,18,2024-12-04,yes,plain
Aditi Ornaments,2,White,Blue,Ruby,Square,18,2024-11-01,yes,micro
Shiv VipulBhai,2,White,Blue,Purple,Oval,14,2023-08-29,no,plain
SanjayBhai,6,Green,Pink,Blue,Flower,10,2023-08-14,yes,plain
RakeshBhai,1,White,Ruby,White,Oval,2,2023-05-08,no,micro
RakeshBhai,7,Blue,Purple,Pink,Hexagon,10,2023-12-09,yes,plain
MRP MukeshBhai,1,White,White,Pink,Oval,26,2024-04-03,yes,plain
Aditi Ornaments,8,Blue,Purple,White,Flower,10,2023-04-05,yes,plain
RakeshBhai,3,Blue,Blue,White,Diamond,26,2024-07-06,yes,micro
SanjayBhai,3,Pink,Blue,Green,Star,2,2024-11-27,yes,micro
Shiv VipulBhai,5,Pink,Green,Pink,Square,6,2024-06-01,yes,plain
MRP MukeshBhai,8,Pink,Pink,Purple,Hexagon,2,2024-08-30,no,plain
SanjayBhai,3,Green,Blue,White,Marquise,2,2023-04-03,no,micro
MRP MukeshBhai,2,Blue,Purple,Blue,Marquise,22,2024-04-20,yes,micro
AshishBhai,3,Blue,Pink,White,Oval,2,2025-03-08,yes,plain
AshishBhai,5,Pink,Blue,Pink,Heart,22,2025-03-05,no,plain
Shiv VipulBhai,5,Blue,Green,White,Square,18,2024-02-25,yes,micro
Shiv VipulBhai,6,Green,Ruby,White,Diamond,22,2024-04-13,no,plain
VirajBhai,1,Pink,Green,Green,Round,6,2024-03-12,yes,plain
AshishBhai,3,Green,Ruby,Purple,Marquise,22,2024-02-03,yes,plain
RakeshBhai,6,Blue,Green,Green,Hexagon,26,2023-10-22,yes,micro
Aditi Ornaments,2,Ruby,Purple,White,Round,10,2023-07-13,no,plain
VirajBhai,1,Green,Purple,Pink,Oval,26,2024-06-24,yes,plain
RakeshBhai,4,Pink,White,Pink,Diamond,18,2024-04-28,no,micro
Aditi Ornaments,4,Pink,Green,Pink,Hexagon,2,2024-06-19,yes,micro
MRP MukeshBhai,3,White,White,Green,Diamond,18,2023-08-19,yes,plain
AshishBhai,3,Ruby,Green,Purple,Heart,10,2025-01-01,yes,plain
MRP MukeshBhai,6,Blue,Green,White,Heart,2,2024-01-03,yes,plain
SanjayBhai,4,White,Green,Pink,Flower,10,2023-05-09,yes,plain
RakeshBhai,3,Pink,Green,Blue,Marquise,18,2024-10-28,no,micro
Shiv VipulBhai,4,Pink,White,Pink,Star,18,2023-12-03,yes,plain
SanjayBhai,5,Green,Blue,Blue,Flower,2,2024-03-21,yes,micro
RakeshBhai,1,Ruby,Blue,Ruby,Marquise,6,2024-07-13,no,micro
Shiv VipulBhai,6,Green,Ruby,Purple,Heart,6,2023-06-22,yes,micro
Aditi Ornaments,3,White,Pink,White,Oval,10,2023-06-24,yes,micro
MRP MukeshBhai,5,Pink,Blue,Blue,Diamond,14,2024-08-16,no,micro
Shiv VipulBhai,7,Ruby,Green,Green,Flower,6,2025-03-09,yes,plain
SanjayBhai,2,Purple,White,Purple,Oval,22,2023-04-29,yes,micro
Aditi Ornaments,3,Purple,Pink,Blue,Oval,22,2023-10-26,yes,micro
VirajBhai,1,Pink,Purple,Ruby,Round,14,2024-03-15,yes,plain
SanjayBhai,3,Pink,Blue,White,Oval,26,2023-07-15,no,plain
SanjayBhai,3,Ruby,Blue,Ruby,Star,10,2023-10-28,yes,plain
RakeshBhai,4,Purple,White,Purple,Star,10,2023-08-27,yes,plain
SanjayBhai,6,White,Blue,White,Hexagon,26,2024-09-14,yes,micro
VirajBhai,7,Ruby,Blue,Green,Hexagon,18,2025-01-18,yes,micro
Aditi Ornaments,5,White,Blue,White,Diamond,2,2024-12-01,yes,micro
SanjayBhai,5,White,Blue,Blue,Flower,18,2024-04-26,yes,plain
MRP MukeshBhai,4,Ruby,Green,Green,Hexagon,14,2024-12-07,yes,micro
Aditi Ornaments,2,Blue,Ruby,White,Club,18,2025-02-18,no,micro
SanjayBhai,3,Ruby,Pink,Blue,Heart,10,2023-10-21,yes,micro
AshishBhai,8,Blue,White,Blue,Star,6,2024-11-21,yes,plain
MRP MukeshBhai,1,White,Green,Blue,Round,14,2025-01-22,yes,plain
MRP MukeshBhai,3,Purple,Ruby,Green,Square,18,2023-03-26,no,plain
VirajBhai,1,Ruby,White,White,Marquise,10,2024-03-23,yes,plain
AshishBhai,4,Purple,Pink,Blue,Diamond,18,2025-02-11,yes,plain
Aditi Ornaments,3,Ruby,Green,Ruby,Diamond,6,2024-08-05,yes,plain
AshishBhai,3,Purple,Green,Blue,Marquise,18,2023-08-10,yes,micro
SanjayBhai,3,White,Green,Blue,Round,26,2023-06-03,yes,micro
MRP MukeshBhai,3,Pink,Purple,Purple,Oval,2,2024-07-13,yes,micro
RakeshBhai,3,White,Pink,White,Round,2,2024-12-19,no,plain
MRP MukeshBhai,3,White,Ruby,Purple,Marquise,14,2025-02-07,no,plain
SanjayBhai,5,Green,Purple,White,Diamond,22,2024-02-03,yes,micro
AshishBhai,1,Ruby,Pink,White,Round,6,2024-10-28,no,plain
RakeshBhai,7,Pink,Green,Blue,Star,14,2024-10-17,yes,plain
VirajBhai,4,White,Blue,White,Star,18,2024-12-27,yes,plain
MRP MukeshBhai,8,Ruby,White,White,Star,2,2023-04-27,no,micro
Shiv VipulBhai,3,Purple,White,Blue,Round,6,2024-01-21,no,plain
VirajBhai,5,Green,Blue,Pink,Square,14,2025-03-03,no,plain
RakeshBhai,1,Purple,Pink,White,Marquise,10,2023-07-05,yes,micro
Shiv VipulBhai,8,Pink,Purple,White,Flower,10,2023-06-14,yes,plain
MRP MukeshBhai,4,Purple,White,Purple,Heart,26,2023-08-05,yes,micro
RakeshBhai,4,White,White,Green,Square,2,2025-02-01,yes,plain
RakeshBhai,2,Pink,Blue,Ruby,Heart,18,2024-05-18,yes,micro
VirajBhai,6,Purple,Purple,Ruby,Hexagon,2,2023-06-04,yes,micro
MRP MukeshBhai,5,Ruby,White,Ruby,Diamond,18,2025-01-16,yes,micro
VirajBhai,5,Purple,Green,Pink,Heart,18,2023-06-27,yes,plain
RakeshBhai,1,Blue,Purple,Blue,Marquise,26,2023-06-04,yes,micro
AshishBhai,4,White,Purple,Pink,Club,18,2023-11-03,yes,plain
RakeshBhai,3,Green,Purple,Ruby,Round,18,2023-03-30,yes,micro
Aditi Ornaments,1,Ruby,Pink,Ruby,Round,2,2024-08-26,yes,plain
MRP MukeshBhai,6,Pink,White,Green,Diamond,18,2024-07-31,yes,micro
Aditi Ornaments,4,Green,Ruby,Green,Flower,14,2024-04-08,yes,micro
MRP MukeshBhai,5,Green,Pink,Ruby,Club,6,2023-10-26,yes,micro
SanjayBhai,3,Green,White,Purple,Marquise,22,2024-01-04,yes,micro
MRP MukeshBhai,3,White,Ruby,Pink,Star,2,2024-06-09,no,micro
Aditi Ornaments,4,Pink,Green,White,Flower,26,2023-10-02,yes,micro
AshishBhai,5,White,Green,Green,Diamond,22,2023-07-09,yes,plain
Shiv VipulBhai,1,White,Green,Ruby,Marquise,14,2024-12-24,yes,micro
RakeshBhai,7,Ruby,White,Green,Flower,18,2025-01-18,yes,micro
AshishBhai,4,Green,White,Green,Hexagon,26,2023-08-03,yes,micro
Aditi Ornaments,3,Pink,White,White,Club,14,2023-05-26,yes,plain
AshishBhai,2,Pink,Pink,Ruby,Diamond,14,2023-04-05,yes,micro
Aditi Ornaments,4,White,Blue,Green,Diamond,26,2025-03-02,yes,plain
Shiv VipulBhai,2,Blue,White,Purple,Square,26,2024-08-19,no,plain
Aditi Ornaments,4,Ruby,Ruby,Ruby,Heart,10,2023-05-10,yes,micro
Shiv VipulBhai,2,Green,Purple,Green,Marquise,18,2024-03-31,no,plain
MRP MukeshBhai,6,Purple,White,Green,Heart,14,2023-05-06,yes,plain
AshishBhai,3,White,Purple,Green,Square,22,2024-04-17,yes,plain
VirajBhai,6,Ruby,White,White,Heart,22,2024-09-12,yes,micro
MRP MukeshBhai,3,Purple,White,Pink,Club,22,2023-03-31,yes,micro
SanjayBhai,1,Pink,Blue,Blue,Marquise,6,2024-05-24,yes,micro
VirajBhai,4,Ruby,Blue,Ruby,Hexagon,22,2024-06-12,yes,plain
Shiv VipulBhai,5,Green,Green,Purple,Flower,18,2025-01-09,yes,micro
SanjayBhai,5,White,Blue,Green,Square,10,2024-07-18,yes,micro
SanjayBhai,3,Blue,Blue,White,Marquise,14,2024-10-14,yes,micro
MRP MukeshBhai,3,Purple,White,Green,Diamond,10,2023-07-23,yes,plain
RakeshBhai,8,Blue,Pink,White,Hexagon,22,2024-10-16,yes,micro
AshishBhai,3,Pink,Pink,Pink,Star,26,2023-12-18,yes,micro
RakeshBhai,6,Pink,White,Ruby,Star,22,2023-06-06,no,plain
AshishBhai,3,White,Green,Pink,Marquise,10,2024-07-01,yes,plain
VirajBhai,2,Blue,Blue,Pink,Marquise,14,2023-12-19,yes,micro
SanjayBhai,1,Ruby,Pink,Purple,Marquise,2,2024-11-14,yes,plain
VirajBhai,5,Pink,Purple,Pink,Hexagon,14,2024-08-05,yes,micro
MRP MukeshBhai,2,Green,Purple,Purple,Round,22,2023-12-15,yes,plain
Aditi Ornaments,2,Ruby,Green,Ruby,Marquise,26,2024-03-18,yes,plain
AshishBhai,6,Ruby,Ruby,Blue,Square,2,2024-07-09,yes,plain
Shiv VipulBhai,4,Pink,Green,Blue,Diamond,22,2023-12-12,yes,plain
MRP MukeshBhai,3,White,Green,White,Hexagon,2,2025-03-10,yes,plain
Shiv VipulBhai,2,White,Purple,Ruby,Club,2,2025-03-04,yes,plain
Shiv VipulBhai,3,Blue,Pink,Ruby,Marquise,10,2024-10-26,yes,micro
RakeshBhai,1,Ruby,Blue,Ruby,Oval,26,2023-05-21,yes,micro
Aditi Ornaments,4,Ruby,Pink,Green,Star,26,2023-09-29,yes,micro
Shiv VipulBhai,4,White,Green,White,Hexagon,26,2023-03-16,yes,plain
SanjayBhai,4,Blue,Purple,Green,Diamond,6,2024-10-06,yes,plain
SanjayBhai,6,Green,White,Purple,Flower,26,2024-11-09,yes,micro
Shiv VipulBhai,3,Pink,Green,Green,Star,26,2024-08-28,yes,micro
MRP MukeshBhai,5,Pink,Pink,Green,Flower,26,2023-04-13,yes,micro
RakeshBhai,7,Purple,White,Pink,Hexagon,6,2023-03-28,yes,plain
Aditi Ornaments,6,Blue,Purple,Purple,Star,26,2024-01-31,yes,plain
SanjayBhai,4,White,Green,Blue,Square,22,2023-05-28,yes,micro
SanjayBhai,5,Ruby,Green,White,Star,10,2024-05-30,yes,micro
RakeshBhai,1,White,Purple,Ruby,Oval,6,2024-08-30,yes,plain
AshishBhai,3,Pink,Ruby,White,Hexagon,14,2023-08-06,yes,plain
VirajBhai,6,White,Purple,Pink,Club,2,2023-05-30,yes,micro
SanjayBhai,6,Purple,White,Green,Flower,18,2024-06-17,yes,micro
RakeshBhai,3,Green,Purple,Blue,Hexagon,18,2025-03-06,yes,plain
Aditi Ornaments,4,Blue,Pink,Pink,Heart,26,2023-06-05,yes,micro
Aditi Ornaments,3,Pink,White,Pink,Square,18,2024-05-27,yes,plain
VirajBhai,6,White,Green,Purple,Diamond,18,2023-10-11,yes,micro
VirajBhai,6,Pink,Green,White,Heart,26,2024-10-17,yes,micro
MRP MukeshBhai,1,Blue,Blue,Blue,Marquise,22,2023-10-28,yes,plain
MRP MukeshBhai,2,White,White,Green,Marquise,10,2024-11-15,yes,plain
RakeshBhai,4,Blue,Green,Ruby,Hexagon,14,2023-05-19,yes,plain
VirajBhai,7,Green,Purple,White,Hexagon,18,2025-02-02,yes,plain
RakeshBhai,1,Pink,Pink,Ruby,Marquise,26,2024-03-26,yes,micro
VirajBhai,7,Pink,Purple,Pink,Star,6,2023-06-27,yes,plain
SanjayBhai,1,Green,White,Ruby,Oval,26,2023-07-04,yes,plain
AshishBhai,3,Blue,Pink,Purple,Oval,14,2023-12-09,yes,plain
RakeshBhai,3,White,Pink,Pink,Marquise,22,2024-05-31,yes,micro
SanjayBhai,1,Blue,Ruby,Pink,Oval,10,2023-09-29,yes,plain
AshishBhai,5,Blue,White,White,Hexagon,22,2024-04-24,yes,micro
